actividad_detalle,actividad_sector_letra,actividad_sector_detalle,anio,valor_precios_corrientes,valor_precios_constantes
Productores de Bienes,F,Construcción ,2020,355875.0565,7025.8230
Productores de Bienes,G,"Comercio al por mayor, al por menor, reparaciones ",2020,1464101.2656,28800.0093
Productores de Servicios,H,Servicios de hotelería y restaurantes ,2020,82045.2382,1504.1429
Impuestos,I,"Servicio de transporte, de almacenamiento y de comunicaciones ",2020,530635.9802,16742.8237
Productores de Servicios,J,Intermediación financiera y otros servicios financieros ,2020,234747.4598,4368.9468
Productores de Bienes,K,"Servicios inmobiliarios, empresariales y de alquiler ",2020,1117134.3029,24536.4885
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria ",2020,428642.1501,7354.8935
Productores de Servicios,M,Enseñanza ,2020,477967.6670,8138.2844
Productores de Servicios,N,Servicios sociales y de salud ,2020,445477.6438,6589.9440
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales ",2020,171026.5161,3477.0145
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico ,2020,69562.2833,1506.4392
,,IVA y otros impuestos a los productos,2021,2860515.0733,42632.9160
,A,"Agricultura, ganadería, caza y silvicultura ",2021,1161318.0403,19315.5203
,B,Pesca y servicios conexos ,2021,31074.3986,482.2342
,C,Explotación de minas y canteras ,2021,25595.7330,625.0283
,D,Industria Manufacturera ,2021,3339508.3448,57328.2342
,E,"Electricidad, gas y agua ",2021,347997.2966,3973.4074
,F,Construcción ,2021,673692.2890,9373.9926
,G,"Comercio al por mayor, al por menor, reparaciones ",2021,2388275.4218,32037.5012
,H,Servicios de hotelería y restaurantes ,2021,150898.6486,1864.2555
,I,"Servicio de transporte, de almacenamiento y de comunicaciones ",2021,868650.6978,19761.6969
,J,Intermediación financiera y otros servicios financieros ,2021,304141.6477,4405.7616
,K,"Servicios inmobiliarios, empresariales y de alquiler ",2021,1642348.5672,25566.0850
,L,"Administración pública, defensa y seguridad social obligatoria ",2021,696211.2883,7831.9280
,M,Enseñanza ,2021,700577.3481,8319.9297
,N,Servicios sociales y de salud ,2021,647336.7876,6869.3226
,O,"Otros servicios comunitarios, sociales y personales ",2021,281950.9165,4011.9838
,P,Servicios de los hogares privados que contratan servicio doméstico ,2021,103095.8192,1577.2464
